count,date,title,description,org_link,link
53,2024-02-09 18:02:00,"버텍스 제약의 낭성 섬유증 3제요법, 후기 임상시험 목표 달성","런던증권거래소(LSEG) <b>데이터</b>에 따르면 반자 트리플의 2024년 매출 추정치는 105억5000만 달러에서 107억5000만 달러 사이로 예상되며, 이는 <b>분석가</b>들의 평균 예상치인 106억1000만 달러를 상회한다.",https://mdtoday.co.kr/news/view/1065576042702290,https://mdtoday.co.kr/news/view/1065576042702290
54,2024-02-09 16:04:00,"성남시, 4차산업 특화 취업지원 프로그램 운영",시는 또한 영상 기획 편집 기술에 AI를 활용한 'AI 미디어 크리에이터 양성과정' 및 비전문가 대상 '노코드 <b>데이터 분석가</b> 양성과정' 등 10개 프로그램을 마련해 구직자의 역량강화에도 힘쓸 계획이다. 시는 적극적인... ,http://www.metroseoul.co.kr/article/20240208500251,http://www.metroseoul.co.kr/article/20240208500251
55,2024-02-09 15:06:00,비트코인 4만6000달러선 터치...강세 전망 우세,"암호화폐 온체인 <b>데이터</b> 분석업체 글래스노드의 수석 <b>분석가</b> 체크메이트(@_Checkmatey_)는 트위터에서 비트코인의 추가 강세를 예상했다. 1 BTC 미만 보유 새우 주소 수, 1만 BTC 이상 보유 고래 주소 수가 증가하는... ",https://www.tokenpost.kr/article-164124,https://www.tokenpost.kr/article-164124
56,2024-02-09 15:06:00,[토큰포스트 연휴 브리핑] 게리 겐슬러 &quot;바이든 재선 시 난 무조건 SEC에 남는...,"분석 &quot;BTC, 추가 강세 전망...수익 중인 주소 비중 90% 돌파&quot; 암호화폐 온체인 <b>데이터</b> 분석업체 글래스노드의 수석 <b>분석가</b> 체크메이트(@_Checkmatey_)가 X를 통해 비트코인의 추가 강세가 예상된다고 분석했다. BTC 실현... ",https://www.tokenpost.kr/article-164114,https://www.tokenpost.kr/article-164114
57,2024-02-09 11:20:00,"코발란트(Covalent)-옵티미즘 Collective,협업 진행 성과 발표...'20만달러 규...","코발란트는 OP Stack 개발자 및 <b>분석가</b>들이 실시간 <b>데이터</b>에 원활하게 접근할 수 있도록 하여 크로스체인 개발을 효율적으로 단순화한다. 체인 인덱서, <b>데이터</b> 스택 및 dApps를 구축하는 데 관련된 복잡성을... ",http://coinreaders.com/97941,http://coinreaders.com/97941
58,2024-02-09 09:08:00,금시세(금값) 9일 0.303%↑,"연방준비제도가 3월의 금리 인상 기대를 지연시킨 가운데, 여전히 많은 <b>분석가</b>들은 5월의 인하 가능성을... 또한, 굴스비 시카고 연은 총재도 긍정적인 인플레이션 <b>데이터</b>가 계속된다면 물가는 정상화로 향할 것이라고... ",https://www.bntnews.co.kr/article/view/bnt202402090004,https://www.bntnews.co.kr/article/view/bnt202402090004
59,2024-02-09 01:12:00,"성남시, '4차산업 특화 취업지원 프로그램' 운영",성남시는 또한 영상 기획 편집 기술에 AI를 활용한 'AI 미디어 크리에이터 양성과정' 및 비전문가 대상 '노코드 <b>데이터 분석가</b> 양성과정' 등 10개 프로그램을 마련해 구직자의 역량강화에도 힘쓸 계획이다. 이밖에도 성남... ,https://www.cstimes.com/news/articleView.html?idxno=579050,https://www.cstimes.com/news/articleView.html?idxno=579050
60,2024-02-08 18:10:00,"성남시, 4차산업 특화 취업지원 프로그램 운영",시는 또한 영상 기획 편집 기술에 AI를 활용한 ‘AI 미디어 크리에이터 양성과정’ 및 비전문가 대상 ‘노코드 <b>데이터 분석가</b> 양성과정’ 등 10개 프로그램을 마련해 구직자의 역량강화에도 힘쓸 계획이다. 이밖에도... ,https://www.skyedaily.com/news/news_view.html?ID=221002,https://www.skyedaily.com/news/news_view.html?ID=221002
61,2024-02-08 17:32:00,보험사기와의 전쟁…브로커 이렇게 잡는다,"[김장한 라이나생명 SIU팀 부장 : 보험사기 조사를 전담하는 부서에서는 손해사정사, 전직 경찰관, 치위생사, <b>데이터분석가</b> 등 다양한 분야의 전문가들이 모여서 협업을 진행하고 있고요. 다수의 선량한 고객들의... ",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202402080176&t=NNv,https://n.news.naver.com/mnews/article/215/0001147720?sid=101
62,2024-02-08 16:48:00,"성남시, 4차산업 특화 취업지원 프로그램 운영",또한 영상 기획 편집 기술에 AI를 활용한 ‘AI 미디어 크리에이터 양성과정’ 및 비전문가 대상 ‘노코드 <b>데이터 분석가</b> 양성과정’ 등 10개 프로그램을 마련해 구직자의 역량강화에도 힘쓸 계획이다. [사진=성남시]... ,https://www.ajunews.com/view/20240208161830648,https://www.ajunews.com/view/20240208161830648
