count,date,title,description,org_link,link
233,2023-11-16 11:03:00,"통일부, 제1기 2030 자문단 발대식 17일 개최","자문단은 성별·연령·지역별 균형을 고려해 대학생, 음악감독, 변호사, <b>데이터 사이언티스트</b>, 교사 등 다양한 경력을 가진 청년이 참여했다. 앞으로 자문단은 지난 15일 임용된 청년보좌역(안국현, 25세)을 단장으로 해... ",http://www.edaily.co.kr/news/newspath.asp?newsid=02620726635806376,https://n.news.naver.com/mnews/article/018/0005620997?sid=100
234,2023-11-16 10:23:00,"통일부 청년자문단 20명 선발…음악감독, 변호사 등 다양한 직군","직업별로는 대학(원)생 5명, 직장인 15명이며 음악감독, 변호사, <b>데이터 사이언티스트</b>, 교사 등 다양한 직종이 선발됐다. 지역별로는 서울이 14명, 지방이 6명이다. 통일부는 &quot;앞으로 자문단은 청년들의 눈과 마음으로... ",https://www.news1.kr/articles/5233067,https://n.news.naver.com/mnews/article/421/0007179826?sid=100
235,2023-11-15 11:15:00,1분도 안돼 10일치 날씨예보…기상청보다 정확한 인공지능 나왔다,딥마인드 연구진은 과거 대기 상태에 대한 <b>데이터</b> 학습을 통해 10일간의 날씨를 예보(중기예보)하는... 유럽중기예보센터의 매튜 챈트리는 과학전문지 뉴<b>사이언티스트</b>에 “이전엔 인공지능을 기존 수학적 모델을... ,https://www.hani.co.kr/arti/science/science_general/1116371.html,https://n.news.naver.com/mnews/article/028/0002664625?sid=105
236,2023-11-15 10:42:00,"[스타트업 단신] 브리즘, 매스프레소, 업스테이지, RXC, 스냅태그, 마이프랜차...","브리즘은 3D스캐너로 얼굴을 스캔하여 미간 넓이, 코높이, 눈과 귀의 거리 등 안면 <b>데이터</b>를 기반으로... 엑스엘에이트의 김강, 조한규 리서치 <b>사이언티스트</b>가 공동 1저자로 참여한 논문 “Enhanced Simultaneous Machine... ",https://platum.kr/archives/217284,https://platum.kr/archives/217284
237,2023-11-14 17:48:00,"쿤텍, AI 기반 <b>데이터</b> 분석 플랫폼 'TAS 2023'서 공개","이 플랫폼은 IT 기술 보유 유무 및 숙련도와 상관없이 현업 사용자부터 데이터 분석가, <b>데이터 사이언티스트</b> 등이 사용할 수 있다. 이 플랫폼은 별도의 개발 없이 쉽게 사용이 가능하다. 또 데이터 연결, 데이터... ",http://digitalchosun.dizzo.com/site/data/html_dir/2023/11/14/2023111480240.html,http://digitalchosun.dizzo.com/site/data/html_dir/2023/11/14/2023111480240.html
238,2023-11-10 11:14:00,"[TAS 2023] 쿤텍, ‘초보자부터 분석가까지’ <b>데이터</b> 통합 관리 플랫폼 소개","다타이쿠는 MLOps 기반 데이터 분석 플랫폼으로 IT 기술 보유 유무 및 숙련도와 상관없이 현업 사용자부터 데이터 분석가, <b>데이터 사이언티스트</b>에 이르는 폭넓은 사용자 층에게 최적화된 경험을 제공한다. 데이터... ",https://www.hellot.net/news/article.html?no=83911,https://www.hellot.net/news/article.html?no=83911
239,2023-11-10 02:12:00,원티드랩 ‘디지털 헬스케어 산업 전용관’ 운영,"개발 직군에서는 AI 엔지니어, 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용한다. 비개발 직군에서는 국⋅내외 영업 담당자, 브랜딩 디자이너, 퍼포먼스 마케터, IR 담당자, 인사 담당자... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202311100211003&sec_id=560101&pt=nv,https://n.news.naver.com/mnews/article/144/0000924361?sid=103
240,2023-11-09 19:25:00,&quot;한국 언론사들 뉴스 제작 AI 도구 만들기 위해 단합해야&quot;,데이터 과학자(<b>데이터 사이언티스트</b>)가 반드시 팀 안에 있어야 한다. 그러나 비싸다. 이런 인력은 구하는 것조차 너무 어렵다&quot;고 운을 뗐다. 생성형 AI 도구를 뉴스 제작에 활용하기 위해 한국의 언론사들이 협력해야... ,http://www.mediatoday.co.kr/news/articleView.html?idxno=313684,https://n.news.naver.com/mnews/article/006/0000120741?sid=105
241,2023-11-09 00:00:00,"[증권소식] 금감원, 금융IT 안전 가이드라인 마련/국민연금 위탁운용사 블랙스...","개발 직군에서는 AI 엔지니어, 프론트엔드 및 백엔드 개발자, 시스템 엔지니어, <b>데이터 사이언티스트</b> 등을 채용한다. 비개발 직군에서는 국·내외 영업 담당자, 브랜딩 디자이너, 퍼포먼스 마케터, IR 담당자, 인사... ",https://www.asiatime.co.kr/article/20231108500433,https://www.asiatime.co.kr/article/20231108500433
242,2023-11-08 17:02:00,"케이에스피소프트, '한국<b>데이터사이언티스트</b>협회'와 협약","ERP(전사적자원관리) 전문기업 케이에스피소프트(대표 박승수)가 한국<b>데이터사이언티스트</b>협회(협회장 윤석용 교수, 명지대학교 AI빅데이터연계 전공)와 제조 AI(인공지능) 데이터 분석을 위한 '시티즌 데이터... ",http://news.mt.co.kr/mtview.php?no=2023110813531294653,https://n.news.naver.com/mnews/article/008/0004959333?sid=101
